source,target,weight,snapshot_date
Timor-Leste,West Bank and Gaza,0.997147,2026-03-26
Timor-Leste,Antarctica,0.997147,2026-03-26
Timor-Leste,Micronesia,0.997147,2026-03-26
Timor-Leste,Summer Olympics 2020,0.997147,2026-03-26
Slovenia,South Africa,0.597064,2026-03-26
Slovenia,Bahrain,0.550779,2026-03-26
Slovenia,Peru,0.485147,2026-03-26
Slovenia,Portugal,0.414906,2026-03-26
Slovenia,India,0.402197,2026-03-26
Cambodia,Bhutan,0.805856,2026-03-26
Cambodia,Samoa,0.782796,2026-03-26
Cambodia,Uruguay,0.765312,2026-03-26
Cambodia,Cuba,0.755643,2026-03-26
Cambodia,Iceland,0.738172,2026-03-26
Sri Lanka,El Salvador,0.883655,2026-03-26
Sri Lanka,Laos,0.856828,2026-03-26
Sri Lanka,Morocco,0.788853,2026-03-26
Sri Lanka,Belize,0.716289,2026-03-26
Sri Lanka,Oman,0.693944,2026-03-26
Taiwan*,"Korea, North",1.0,2026-03-26
Taiwan*,Antarctica,1.0,2026-03-26
Taiwan*,West Bank and Gaza,1.0,2026-03-26
Taiwan*,Holy See,1.0,2026-03-26
Taiwan*,Micronesia,1.0,2026-03-26
Algeria,Gambia,0.915778,2026-03-26
Algeria,Kyrgyzstan,0.883167,2026-03-26
Algeria,Syria,0.881324,2026-03-26
Algeria,Chad,0.859059,2026-03-26
Algeria,Malawi,0.846744,2026-03-26
Winter Olympics 2022,"Korea, North",1.0,2026-03-26
Winter Olympics 2022,Antarctica,1.0,2026-03-26
Winter Olympics 2022,West Bank and Gaza,1.0,2026-03-26
Winter Olympics 2022,Holy See,1.0,2026-03-26
Winter Olympics 2022,Micronesia,1.0,2026-03-26
Brazil,New Zealand,0.037838,2026-03-26
Brazil,Belgium,0.007476,2026-03-26
Brazil,Australia,0.003506,2026-03-26
Brazil,Ukraine,0.003043,2026-03-26
Brazil,Canada,1.2e-05,2026-03-26
China,Liberia,0.581474,2026-03-26
China,Vietnam,0.548746,2026-03-26
China,Laos,0.481711,2026-03-26
China,Uruguay,0.479905,2026-03-26
China,El Salvador,0.479411,2026-03-26
Uganda,Ghana,0.856197,2026-03-26
Uganda,Kenya,0.668597,2026-03-26
Uganda,Nigeria,0.56709,2026-03-26
Uganda,Egypt,0.551965,2026-03-26
Uganda,Bosnia and Herzegovina,0.520049,2026-03-26
Romania,Costa Rica,0.387587,2026-03-26
Romania,Czechia,0.065059,2026-03-26
Romania,Serbia,0.056715,2026-03-26
Romania,Singapore,0.022783,2026-03-26
Romania,Spain,0.017224,2026-03-26
Ecuador,Greece,0.876926,2026-03-26
Ecuador,Nicaragua,0.80632,2026-03-26
Ecuador,Antigua and Barbuda,0.708577,2026-03-26
Ecuador,Turkey,0.674331,2026-03-26
Ecuador,Fiji,0.657571,2026-03-26
Jamaica,Ethiopia,0.620816,2026-03-26
Jamaica,Bosnia and Herzegovina,0.595876,2026-03-26
Jamaica,Eswatini,0.593288,2026-03-26
Jamaica,Uzbekistan,0.554933,2026-03-26
Jamaica,Barbados,0.545064,2026-03-26
Samoa,Bhutan,0.869243,2026-03-26
Samoa,Maldives,0.832018,2026-03-26
Samoa,Iceland,0.810292,2026-03-26
Samoa,Cambodia,0.782796,2026-03-26
Samoa,Tuvalu,0.781881,2026-03-26
Thailand,Latvia,0.761246,2026-03-26
Thailand,Iceland,0.73888,2026-03-26
Thailand,Maldives,0.6551,2026-03-26
Thailand,Dominican Republic,0.63601,2026-03-26
Thailand,Belarus,0.633656,2026-03-26
Kyrgyzstan,Gambia,0.902185,2026-03-26
Kyrgyzstan,Algeria,0.883167,2026-03-26
Kyrgyzstan,Chad,0.881509,2026-03-26
Kyrgyzstan,Sudan,0.872303,2026-03-26
Kyrgyzstan,Malawi,0.842562,2026-03-26
Liberia,Tonga,0.706361,2026-03-26
Liberia,Seychelles,0.673681,2026-03-26
Liberia,El Salvador,0.67063,2026-03-26
Liberia,Sri Lanka,0.661234,2026-03-26
Liberia,Laos,0.656743,2026-03-26
Monaco,Seychelles,0.598016,2026-03-26
Monaco,Oman,0.59347,2026-03-26
Monaco,Tonga,0.584121,2026-03-26
Monaco,Belarus,0.558504,2026-03-26
Monaco,Kiribati,0.558404,2026-03-26
Iceland,Maldives,0.847646,2026-03-26
Iceland,Samoa,0.810292,2026-03-26
Iceland,Belarus,0.800017,2026-03-26
Iceland,Bhutan,0.790691,2026-03-26
Iceland,Tonga,0.778412,2026-03-26
Burma,Congo (Brazzaville),0.985816,2026-03-26
Burma,Palau,0.963538,2026-03-26
Burma,Timor-Leste,0.960789,2026-03-26
Burma,Micronesia,0.958048,2026-03-26
Burma,Antarctica,0.958048,2026-03-26
Suriname,Bahamas,0.911711,2026-03-26
Suriname,Guinea,0.88254,2026-03-26
Suriname,Dominica,0.849155,2026-03-26
Suriname,Guyana,0.838412,2026-03-26
Suriname,Lesotho,0.809743,2026-03-26
Colombia,Philippines,0.808701,2026-03-26
Colombia,Hungary,0.781719,2026-03-26
Colombia,Argentina,0.694515,2026-03-26
Colombia,Bolivia,0.630094,2026-03-26
Colombia,Sweden,0.53929,2026-03-26
Mongolia,Zambia,0.468643,2026-03-26
Mongolia,Zimbabwe,0.409667,2026-03-26
Mongolia,Botswana,0.407438,2026-03-26
Mongolia,Benin,0.362561,2026-03-26
Mongolia,Burkina Faso,0.361723,2026-03-26
Hungary,Colombia,0.781719,2026-03-26
Hungary,Philippines,0.70602,2026-03-26
Hungary,Argentina,0.689845,2026-03-26
Hungary,Bolivia,0.649466,2026-03-26
Hungary,Sweden,0.570772,2026-03-26
Benin,Iraq,0.797951,2026-03-26
Benin,Angola,0.793594,2026-03-26
Benin,Burkina Faso,0.792776,2026-03-26
Benin,Yemen,0.655493,2026-03-26
Benin,Mali,0.654282,2026-03-26
Egypt,Nigeria,0.783165,2026-03-26
Egypt,Namibia,0.654542,2026-03-26
Egypt,Mozambique,0.645817,2026-03-26
Egypt,Tanzania,0.632788,2026-03-26
Egypt,Kenya,0.618651,2026-03-26
Qatar,Finland,0.600632,2026-03-26
Qatar,Mauritius,0.582478,2026-03-26
Qatar,Denmark,0.562658,2026-03-26
Qatar,Ireland,0.54778,2026-03-26
Qatar,Sweden,0.441427,2026-03-26
Togo,Mali,0.697313,2026-03-26
Togo,Niger,0.655886,2026-03-26
Togo,Kenya,0.648663,2026-03-26
Togo,Iraq,0.593893,2026-03-26
Togo,Angola,0.582572,2026-03-26
Rwanda,Nepal,0.631355,2026-03-26
Rwanda,Bangladesh,0.625259,2026-03-26
Rwanda,Botswana,0.561126,2026-03-26
Rwanda,Tanzania,0.484104,2026-03-26
Rwanda,Zambia,0.443359,2026-03-26
Dominica,Guyana,0.89314,2026-03-26
Dominica,Bahamas,0.881697,2026-03-26
Dominica,Suriname,0.849155,2026-03-26
Dominica,Guinea,0.779752,2026-03-26
Dominica,Lesotho,0.757691,2026-03-26
Seychelles,Oman,0.91055,2026-03-26
Seychelles,Tonga,0.843133,2026-03-26
Seychelles,Vanuatu,0.762329,2026-03-26
Seychelles,Kiribati,0.753602,2026-03-26
Seychelles,Belarus,0.74854,2026-03-26
Congo (Kinshasa),"Korea, North",1.0,2026-03-26
Congo (Kinshasa),Antarctica,1.0,2026-03-26
Congo (Kinshasa),West Bank and Gaza,1.0,2026-03-26
Congo (Kinshasa),Holy See,1.0,2026-03-26
Congo (Kinshasa),Micronesia,1.0,2026-03-26
Malta,Nicaragua,0.714514,2026-03-26
Malta,Ecuador,0.652048,2026-03-26
Malta,Greece,0.605716,2026-03-26
Malta,Vietnam,0.602478,2026-03-26
Malta,Cambodia,0.59157,2026-03-26
Italy,United Kingdom,0.00175,2026-03-26
Italy,Mexico,0.000147,2026-03-26
Italy,France,6e-06,2026-03-26
Italy,Chile,0.0,2026-03-26
Italy,Poland,0.0,2026-03-26
Somalia,Mauritania,0.889787,2026-03-26
Somalia,Grenada,0.878268,2026-03-26
Somalia,Djibouti,0.872909,2026-03-26
Somalia,Lesotho,0.86972,2026-03-26
Somalia,Saint Vincent and the Grenadines,0.852667,2026-03-26
Chad,Gambia,0.920815,2026-03-26
Chad,Malawi,0.918208,2026-03-26
Chad,Kyrgyzstan,0.881509,2026-03-26
Chad,Algeria,0.859059,2026-03-26
Chad,Sudan,0.836292,2026-03-26
Haiti,Burundi,0.740587,2026-03-26
Haiti,Malawi,0.639528,2026-03-26
Haiti,Eritrea,0.634948,2026-03-26
Haiti,Liechtenstein,0.628253,2026-03-26
Haiti,Syria,0.624078,2026-03-26
Chile,Poland,0.047923,2026-03-26
Chile,Mexico,3.6e-05,2026-03-26
Chile,Australia,0.0,2026-03-26
Chile,Italy,0.0,2026-03-26
Chile,Brazil,0.0,2026-03-26
Solomon Islands,Guinea,0.903083,2026-03-26
Solomon Islands,Suriname,0.806698,2026-03-26
Solomon Islands,Bahamas,0.757457,2026-03-26
Solomon Islands,Dominica,0.74445,2026-03-26
Solomon Islands,Sierra Leone,0.714051,2026-03-26
Switzerland,Indonesia,0.255613,2026-03-26
Switzerland,Guatemala,0.253067,2026-03-26
Switzerland,Slovakia,0.247387,2026-03-26
Switzerland,Cyprus,0.239672,2026-03-26
Switzerland,Malaysia,0.20141,2026-03-26
Bulgaria,Lebanon,0.593905,2026-03-26
Bulgaria,Armenia,0.591535,2026-03-26
Bulgaria,Luxembourg,0.514664,2026-03-26
Bulgaria,Montenegro,0.442421,2026-03-26
Bulgaria,Bolivia,0.394482,2026-03-26
Cabo Verde,"Korea, North",1.0,2026-03-26
Cabo Verde,Antarctica,1.0,2026-03-26
Cabo Verde,West Bank and Gaza,1.0,2026-03-26
Cabo Verde,Holy See,1.0,2026-03-26
Cabo Verde,Micronesia,1.0,2026-03-26
Palau,Timor-Leste,0.997147,2026-03-26
Palau,West Bank and Gaza,0.994302,2026-03-26
Palau,"Korea, North",0.994302,2026-03-26
Palau,Micronesia,0.994302,2026-03-26
Palau,Summer Olympics 2020,0.994302,2026-03-26
Sudan,Kyrgyzstan,0.872303,2026-03-26
Sudan,Gambia,0.867622,2026-03-26
Sudan,South Sudan,0.837874,2026-03-26
Sudan,Chad,0.836292,2026-03-26
Sudan,Algeria,0.831072,2026-03-26
Cote d'Ivoire,Papua New Guinea,0.824917,2026-03-26
Cote d'Ivoire,Cameroon,0.633986,2026-03-26
Cote d'Ivoire,Niger,0.591163,2026-03-26
Cote d'Ivoire,Mali,0.517662,2026-03-26
Cote d'Ivoire,Afghanistan,0.511006,2026-03-26
Czechia,Serbia,0.189254,2026-03-26
Czechia,Romania,0.065059,2026-03-26
Czechia,Costa Rica,0.050018,2026-03-26
Czechia,Spain,0.040127,2026-03-26
Czechia,Singapore,0.003254,2026-03-26
Jordan,North Macedonia,0.752586,2026-03-26
Jordan,Kazakhstan,0.728921,2026-03-26
Jordan,Belize,0.694101,2026-03-26
Jordan,Paraguay,0.636411,2026-03-26
Jordan,Tajikistan,0.62367,2026-03-26
Malaysia,Cyprus,0.629959,2026-03-26
Malaysia,Indonesia,0.510895,2026-03-26
Malaysia,Slovakia,0.304197,2026-03-26
Malaysia,Guatemala,0.278592,2026-03-26
Malaysia,Brunei,0.223635,2026-03-26
Mali,Iraq,0.805019,2026-03-26
Mali,Angola,0.749452,2026-03-26
Mali,Togo,0.697313,2026-03-26
Mali,Niger,0.689684,2026-03-26
Mali,Benin,0.654282,2026-03-26
Tuvalu,Nauru,0.979463,2026-03-26
Tuvalu,Bhutan,0.819993,2026-03-26
Tuvalu,Samoa,0.781881,2026-03-26
Tuvalu,Cuba,0.772236,2026-03-26
Tuvalu,Cambodia,0.733654,2026-03-26
Kosovo,Azerbaijan,0.677092,2026-03-26
Kosovo,Tunisia,0.652742,2026-03-26
Kosovo,Honduras,0.650756,2026-03-26
Kosovo,Albania,0.589924,2026-03-26
Kosovo,Uzbekistan,0.570517,2026-03-26
Liechtenstein,Burundi,0.811272,2026-03-26
Liechtenstein,Syria,0.788686,2026-03-26
Liechtenstein,Congo (Brazzaville),0.775933,2026-03-26
Liechtenstein,Burma,0.775746,2026-03-26
Liechtenstein,Palau,0.774938,2026-03-26
Bangladesh,Nepal,0.678498,2026-03-26
Bangladesh,Rwanda,0.625259,2026-03-26
Bangladesh,Fiji,0.557909,2026-03-26
Bangladesh,Mozambique,0.528648,2026-03-26
Bangladesh,Tanzania,0.511545,2026-03-26
Ghana,Uganda,0.856197,2026-03-26
Ghana,Kenya,0.654479,2026-03-26
Ghana,Egypt,0.613523,2026-03-26
Ghana,Nigeria,0.60068,2026-03-26
Ghana,Bosnia and Herzegovina,0.592869,2026-03-26
Niger,Iraq,0.709129,2026-03-26
Niger,Angola,0.701905,2026-03-26
Niger,Mali,0.689684,2026-03-26
Niger,Papua New Guinea,0.680224,2026-03-26
Niger,Afghanistan,0.656634,2026-03-26
Honduras,Barbados,0.755269,2026-03-26
Honduras,Paraguay,0.727935,2026-03-26
Honduras,Tunisia,0.719504,2026-03-26
Honduras,Dominican Republic,0.668023,2026-03-26
Honduras,Azerbaijan,0.655844,2026-03-26
Belgium,New Zealand,0.019285,2026-03-26
Belgium,Brazil,0.007476,2026-03-26
Belgium,Ukraine,0.007466,2026-03-26
Belgium,Canada,9.6e-05,2026-03-26
Belgium,Australia,8.2e-05,2026-03-26
Trinidad and Tobago,San Marino,0.076077,2026-03-26
Trinidad and Tobago,Andorra,0.001411,2026-03-26
Trinidad and Tobago,Lithuania,0.001075,2026-03-26
Trinidad and Tobago,Ireland,0.000743,2026-03-26
Trinidad and Tobago,Mauritius,0.000715,2026-03-26
Barbados,Paraguay,0.782018,2026-03-26
Barbados,Honduras,0.755269,2026-03-26
Barbados,Dominican Republic,0.7439,2026-03-26
Barbados,Uzbekistan,0.692697,2026-03-26
Barbados,Latvia,0.662809,2026-03-26
Turkey,Greece,0.767891,2026-03-26
Turkey,Belize,0.757729,2026-03-26
Turkey,Morocco,0.733411,2026-03-26
Turkey,Antigua and Barbuda,0.728865,2026-03-26
Turkey,Fiji,0.701307,2026-03-26
Montenegro,Armenia,0.68171,2026-03-26
Montenegro,Estonia,0.601703,2026-03-26
Montenegro,Kuwait,0.579158,2026-03-26
Montenegro,Uzbekistan,0.539241,2026-03-26
Montenegro,Norway,0.51626,2026-03-26
Vanuatu,Tajikistan,0.894182,2026-03-26
Vanuatu,Central African Republic,0.854275,2026-03-26
Vanuatu,Guyana,0.832407,2026-03-26
Vanuatu,Lesotho,0.803885,2026-03-26
Vanuatu,Albania,0.798543,2026-03-26
Lithuania,Georgia,0.121729,2026-03-26
Lithuania,Slovakia,0.109862,2026-03-26
Lithuania,Indonesia,0.070037,2026-03-26
Lithuania,Cyprus,0.062215,2026-03-26
Lithuania,Malaysia,0.061905,2026-03-26
"Korea, South",Japan,1.5e-05,2026-03-26
"Korea, South",Russia,0.0,2026-03-26
"Korea, South",Germany,0.0,2026-03-26
"Korea, South",Austria,0.0,2026-03-26
"Korea, South",France,0.0,2026-03-26
Antigua and Barbuda,Greece,0.76201,2026-03-26
Antigua and Barbuda,Turkey,0.728865,2026-03-26
Antigua and Barbuda,Belize,0.714847,2026-03-26
Antigua and Barbuda,Ecuador,0.708577,2026-03-26
Antigua and Barbuda,Kazakhstan,0.693677,2026-03-26
Namibia,Guinea-Bissau,0.827353,2026-03-26
Namibia,Gabon,0.754927,2026-03-26
Namibia,Nigeria,0.719971,2026-03-26
Namibia,Cameroon,0.679755,2026-03-26
Namibia,Senegal,0.663344,2026-03-26
Guyana,Dominica,0.89314,2026-03-26
Guyana,Bahamas,0.88729,2026-03-26
Guyana,Suriname,0.838412,2026-03-26
Guyana,Vanuatu,0.832407,2026-03-26
Guyana,Lesotho,0.83003,2026-03-26
Austria,France,0.0,2026-03-26
Austria,United Kingdom,0.0,2026-03-26
Austria,Italy,0.0,2026-03-26
Austria,Mexico,0.0,2026-03-26
Austria,Germany,0.0,2026-03-26
United Arab Emirates,Brunei,0.535659,2026-03-26
United Arab Emirates,Denmark,0.53227,2026-03-26
United Arab Emirates,Colombia,0.524701,2026-03-26
United Arab Emirates,Argentina,0.515459,2026-03-26
United Arab Emirates,Hungary,0.478763,2026-03-26
Slovakia,Indonesia,0.525614,2026-03-26
Slovakia,Georgia,0.49902,2026-03-26
Slovakia,Cyprus,0.399933,2026-03-26
Slovakia,Malaysia,0.304197,2026-03-26
Slovakia,Switzerland,0.247387,2026-03-26
Finland,Ireland,0.723604,2026-03-26
Finland,Mauritius,0.651013,2026-03-26
Finland,Qatar,0.600632,2026-03-26
Finland,Denmark,0.557899,2026-03-26
Finland,Sweden,0.502774,2026-03-26
Bolivia,Philippines,0.704078,2026-03-26
Bolivia,Hungary,0.649466,2026-03-26
Bolivia,Colombia,0.630094,2026-03-26
Bolivia,Lebanon,0.605603,2026-03-26
Bolivia,Argentina,0.510043,2026-03-26
Senegal,Gabon,0.876471,2026-03-26
Senegal,Guinea-Bissau,0.691316,2026-03-26
Senegal,Namibia,0.663344,2026-03-26
Senegal,Bosnia and Herzegovina,0.588328,2026-03-26
Senegal,Syria,0.547692,2026-03-26
Zimbabwe,Burkina Faso,0.498794,2026-03-26
Zimbabwe,Benin,0.490655,2026-03-26
Zimbabwe,Zambia,0.484769,2026-03-26
Zimbabwe,Angola,0.463578,2026-03-26
Zimbabwe,Iraq,0.44082,2026-03-26
